Mod,Category,Status,Server_Status,Client_Package,Files,Last_Tested,URL,Notes
"Medieval Buildings","Test New Mods",failed,"Rejected: datapack/tag error","Not included","medieval_buildings-neoforge-26.1.2-1.2.0.jar + medieval_end-neoforge-26.1.2-1.2.0.jar + medieval_nether-neoforge-26.1.2-1.2.1.jar",2026-06-03,https://www.curseforge.com/minecraft/mc-mods/medieval-buildings/files/all?page=1&pageSize=20,"Boot test row191_medieval_buildings reached Done but logged a real TagLoader ERROR: minecraft:load missing medieval_end:load. Removed all three required Medieval jars from active mods and quarantined them."
"Medieval Buildings - New Structures!","Test New Mods",failed,"Rejected: duplicate of failed row 191","Not included","medieval_buildings-neoforge-26.1.2-1.2.0.jar + dependencies",2026-06-03,https://www.curseforge.com/minecraft/mc-mods/medieval-buildings/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Duplicate tracker row. Same Medieval Buildings file and dependency set was tested in row191_medieval_buildings and rejected because it logged the minecraft:load missing medieval_end:load TagLoader ERROR."
"Underground Villages","Test New Mods",failed,"Rejected: Ruins integration error","Not included",UndergroundVillages-neoforge-26.1.2-11.0.0.jar,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/underground-villages/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Fresh-world individual retest briefly passed, but final_relaxed_active_set reproduced the RuinsMod NullPointerException translating minecraft:water. Removed from active set and client package."
Abridged,"World Mods",skipped,"No compatible release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/abridged/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Skipped to honor stable-compatible-only rule; existing older jar remains only in mods_previous_1.21.8 if present."
"Additional Biomes","World Mods",skipped,"No compatible release","Not included",,2026-06-03,https://modrinth.com/datapack/additional-biomes/versions?l=neoforge,"Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Additional Lanterns","World Mods",skipped,"No compatible release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/additional-lanterns/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Additional Structures","World Mods",skipped,"No compatible release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/additional-structures/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Architectury API","World Mods",skipped,"No compatible release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/architectury-api/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"ATi Structures - Datapack","World Mods",skipped,"No resolvable project","Not included",,2026-06-03,https://www.curseforge.com/minecraft/data-packs/ati-structures-datapack/files/all?page=1&pageSize=20,"Skipped because the URL slug ati-structures-datapack did not resolve to a CurseForge project and broad searches returned unrelated projects."
"Awesome Dungeon - NeoForge","World Mods",skipped,"No compatible release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/awesome-dungeon-neoforge/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Better Villages - NeoForge","World Mods",skipped,"No compatible release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/better-village-neoforge/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"BSL Shader","Core Game Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/shaders/bsl-shaders-classic/files/all?page=1&pageSize=20&showAlphaFiles=hide,"CurseForge API returned no stable shader file tagged for Minecraft 26.1.x or 1.21.10/1.21.11. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
Cavernous,"World Mods",skipped,"No compatible release","Not included",,2026-06-03,https://modrinth.com/datapack/cavernous/versions,"Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Cherry Hut","Test New Mods",skipped,"No compatible release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/cherry-hut/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
ChickensShed,"Test New Mods",skipped,"No compatible release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/chickensshed/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
Chimes,"Test New Mods",skipped,"No compatible release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/chimes/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
ChocoCraft,"Test New Mods",skipped,"No compatible release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/chococraft/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"ChoiceTheorem's Overhauled Village","Test New Mods",skipped,"No compatible release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/choicetheorems-overhauled-village/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Chunk Sending","Server Optimizer",skipped,"No compatible release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/chunk-sending-forge-fabric/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Skipped to honor stable-compatible-only rule; existing 1.21.x jar remains only in mods_previous_1.21.8."
Clumps,"Server Optimizer",skipped,"No compatible release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/clumps/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Skipped to honor stable-compatible-only rule; existing 1.21.8 jar remains only in mods_previous_1.21.8."
CobbleFurnies,"Test New Mods",skipped,"No compatible release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/cobblefurnies/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Coffee Spawner","Test New Mods",skipped,"No compatible release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/coffee-spawner/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Create Big Cannons","Test New Mods",skipped,"No compatible release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/create-big-cannons/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Create Big Cannons: Advanced Technologies","Test New Mods",skipped,"No compatible release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/create-big-cannons-advanced-technologies/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Create: Escalated","Test New Mods",skipped,"No compatible release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/create-escalated/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Create: Rustic Structures","Test New Mods",skipped,"No compatible release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/create-rustic-structures/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Create: Structures Arise","Test New Mods",skipped,"No compatible release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/create-structures-arise/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Critters and Companions","Test New Mods",skipped,"No compatible release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/critters-and-companions/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
Curseforge,"Online Resources",skipped,"Skipped: online reference","Not included",,2026-06-03,https://www.curseforge.com/minecraft/search?page=1&pageSize=50&sortBy=total+downloads&version=1.21.8&gameVersionTypeId=6,"CurseForge browsing reference, not a server or client mod. Skipped during migration."
"Desert Oasis","Test New Mods",skipped,"No compatible release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/desert-oasis/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Dragonite Gear","Test New Mods",skipped,"No compatible release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/dragonite-gear/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
Duckling,"Test New Mods",skipped,"No compatible release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/duckling/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Dungeons Enhanced","Test New Mods",skipped,"No compatible release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/dungeonsenhanced/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Dynamic Trees Pam's Harvestcraft 2: Trees","Test New Mods",skipped,"No compatible release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/dynamic-trees-pams-harvestcraft-2/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
Dynamite,"World Mods",skipped,"No compatible release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/dynamite/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Farmer's Delight","Test New Mods",skipped,"No compatible release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/farmers-delight/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Fisherman's Trap","Test New Mods",skipped,"No compatible release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/fishermans-trap/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Flower Pots +","World Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/texture-packs/flower-pots/files/all?page=1&pageSize=20,"CurseForge API returned no stable 26.1.x-compatible resource pack file. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Flower Seeds 2","Test New Mods",skipped,"No compatible release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/flower-seeds/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
Fog,"World Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/fog/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable 26.1.x-compatible NeoForge client mod file. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Formations Overworld","Test New Mods",skipped,"No compatible release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/formations-overworld/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"FTB Ocean Mobs","Test New Mods",skipped,"No compatible release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/ftb-ocean-mobs/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
Handcrafted,"Test New Mods",skipped,"No compatible release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/handcrafted/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Happy Ghast Backport","Test New Mods",skipped,"No compatible release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/happy-ghast-backport/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Haunted House","Test New Mods",skipped,"No compatible release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/haunted-house/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Ice and Fire: Dragons","Test New Mods",skipped,"No compatible release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/ice-and-fire-dragons,"Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Immersive Aircraft","Test New Mods",skipped,"No compatible release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/immersive-aircraft/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Immersive structures","Test New Mods",skipped,"No compatible release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/immersive-structures/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Improved Pillager Outpost","Test New Mods",skipped,"No compatible release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/data-packs/improved-pillager-outpost-datapack/files/all?page=1&pageSize=20,"Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Improved Village Placement","Test New Mods",skipped,"No compatible release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/improved-village-placement/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Integrated Villages","Test New Mods",skipped,"No compatible release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/integrated-villages/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Integrated Villages- Configuration","Test New Mods",skipped,"No compatible release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/data-packs/integrated-villages-configuration/files/all?page=1&pageSize=20,"Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Iron Chests","Test New Mods",skipped,"No compatible release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/iron-chests/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Johannes's Renaissance - Musket Rebirth","Test New Mods",skipped,"No compatible release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/johanness-renaissance-rebirth/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Just Enough Guns","Test New Mods",skipped,"No compatible release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/just-enough-guns/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
K-Turrets,"Test New Mods",skipped,"No compatible release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/k-turrets/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
Kobolds!,"Test New Mods",skipped,"No compatible release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/kobolds/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"L's Illager Trader","Test New Mods",skipped,"No compatible release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/illager-trader/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"L's Ocean Trader","Test New Mods",skipped,"No compatible release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/ocean-villager-trader/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"L's Spooky Music Trader","Test New Mods",skipped,"No compatible release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/spooky-music-trader/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
Landmines,"Test New Mods",skipped,"No compatible release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/landmines/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Library Ferret - NeoForge","World Mods",skipped,"No compatible release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/library-ferret-neoforge/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Little Logistics","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/little-logistics/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Living Things","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/living-things/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Luki's Grand Capitals","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/lukis-grand-capitals/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"LUMINOUS: MONSTERS","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/luminous-monsters/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Macaw's Biomes O' Plenty","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/macaws-biomes-o-plenty/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Magma Core","World Mods",skipped,"No compatible release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/magma-core/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Man of Many Planes","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/man-of-many-planes/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
"Map Viewer","Online Resources",skipped,"Skipped: online reference","Not included",,2026-06-03,https://mcseedmap.net/1.21.5-Java/-4117909493815948877#x=123&z=-332&l=-1.3,"Map viewer/seed reference, not a server or client mod. Skipped during migration."
"Medieval Castle","Test New Mods",skipped,"Skipped: not a server mod","Not included",,2026-06-03,https://www.curseforge.com/minecraft/worlds/medieval-castle-updated/files/all?page=1&pageSize=20,"The URL points to a CurseForge world/map project, not a mod jar. Per instructions, skipped non-mod tracker rows."
MineColonies,"Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/minecolonies/files/all?page=1&pageSize=20&gameVersionTypeId=6,"MineColonies has no NeoForge files for Minecraft 26.1.2 or 26.1. Current stable NeoForge files are for the 1.21/1.21.1 line, so skipped."
"Mo' Than Enough Guns","Test New Mods",skipped,"Skipped: no compatible stable release","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/mo-than-enough-guns/files/all?page=1&pageSize=20&gameVersionTypeId=6,"CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
